id,customer_id,product_id,customer_name,customer_city,product_name,price,quantity,order_date,status
1,6828,8516,Carol Williams,Chicago,Monitor,119.5,4,2024-10-20,delivered
2,1480,1165,Ivy Taylor,Phoenix,Speaker,501.01,7,2024-02-21,processing
3,9213,5779,Carol Williams,Los Angeles,Headphones,191.97,8,2024-02-08,shipped
4,12200,8190,Leo Jackson,Phoenix,Monitor,366.88,2,2024-05-14,processing
5,12738,9616,Alice Johnson,Houston,Keyboard,350.96,4,2024-02-16,shipped
6,10247,932,Mary White,Los Angeles,Keyboard,322.82,5,2024-10-28,processing
7,11011,9661,Bob Smith,San Diego,Monitor,160.0,2,2024-11-10,shipped
8,2881,2907,Alice Johnson,Phoenix,Laptop,307.65,7,2024-08-09,pending
9,12971,5644,Eve Davis,Phoenix,Headphones,155.65,8,2024-01-09,pending
10,5051,366,Mary White,Chicago,Headphones,16.81,4,2024-02-22,processing
11,9973,7355,Grace Wilson,Chicago,Microphone,395.35,6,2024-08-16,shipped
12,7716,8517,Kate Thomas,New York,Speaker,430.12,9,2024-02-21,processing
13,6144,9776,David Brown,San Antonio,Webcam,459.83,1,2024-07-12,delivered
14,7429,7371,Carol Williams,Dallas,Mouse,383.42,7,2024-08-12,delivered
15,9787,8328,Henry Moore,San Diego,Cable,84.05,6,2024-10-09,pending
16,10513,4017,Kate Thomas,San Antonio,Microphone,431.12,4,2024-11-05,processing
17,10176,4808,Olivia Martin,San Jose,Adapter,121.27,6,2024-11-09,shipped
18,11045,3131,Leo Jackson,San Diego,Microphone,253.62,10,2024-05-11,delivered
19,4893,4424,Carol Williams,San Diego,Microphone,120.04,1,2024-10-28,pending
20,11400,9381,Bob Smith,Phoenix,Monitor,46.52,5,2024-03-04,shipped
21,3618,4507,Paul Thompson,Chicago,Webcam,235.83,3,2024-03-15,delivered
22,11580,3750,David Brown,New York,Laptop,466.91,9,2024-05-18,pending
23,12170,3581,Noah Harris,Chicago,Speaker,9.9,3,2024-10-26,processing
24,5549,5307,Kate Thomas,Los Angeles,Mouse,42.11,3,2024-08-16,shipped
25,1173,6837,David Brown,San Diego,Adapter,77.33,4,2024-07-16,pending
